"OWNER","TABLE_NAME","COLUMN_ID","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","NULLABLE"
NEAC,ACID,1,ID,VARCHAR2,255,,N
NEAC,ACID,2,DATA_HORA_FATO,VARCHAR2,255,,Y
NEAC,ACID,3,VEICULO_VITIMA,VARCHAR2,255,,Y
NEAC,ACID,4,MODELO_VEIC_VITIMA,VARCHAR2,255,,Y
NEAC,ACID,5,AREA_LIMITE,VARCHAR2,255,,Y
NEAC,ACID,6,OBSTACULO,VARCHAR2,255,,Y
NEAC,ACID,7,KM_VIA,VARCHAR2,255,,Y
NEAC,ACID,8,TIPO_VIA,VARCHAR2,255,,Y
NEAC,ACID,9,CONDICAO_VITIMA,VARCHAR2,255,,Y
NEAC,ACID,10,CAUSA_ACIDENTE,VARCHAR2,255,,Y
NEAC,ACID,11,TURNO_ACIDENTE,VARCHAR2,255,,Y
NEAC,ACID,12,ID_CM_AT_FK,NUMBER,22,,Y
NEAC,ACID_copy,1,ID,VARCHAR2,255,,N
NEAC,ACID_copy,2,DATA_HORA_FATO,VARCHAR2,255,,Y
NEAC,ACID_copy,3,VEICULO_VITIMA,VARCHAR2,255,,Y
NEAC,ACID_copy,4,MODELO_VEIC_VITIMA,VARCHAR2,255,,Y
NEAC,ACID_copy,5,AREA_LIMITE,VARCHAR2,255,,Y
NEAC,ACID_copy,6,OBSTACULO,VARCHAR2,255,,Y
NEAC,ACID_copy,7,KM_VIA,VARCHAR2,255,,Y
NEAC,ACID_copy,8,TIPO_VIA,VARCHAR2,255,,Y
NEAC,ACID_copy,9,CONDICAO_VITIMA,VARCHAR2,255,,Y
NEAC,ACID_copy,10,CAUSA_ACIDENTE,VARCHAR2,255,,Y
NEAC,ACID_copy,11,TURNO_ACIDENTE,VARCHAR2,255,,Y
NEAC,ACID_copy,12,ID_CM_AT_FK,NUMBER,22,,Y
NEAC,ACIDENTE_TRANSITO,1,ID_CM_AT_FK,NUMBER,22,,N
NEAC,ACIDENTE_TRANSITO,2,VEICULO_VITIMA,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,3,MODELO_VEIC_VITIMA,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,4,AREA_LIMITE,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,5,OBSTACULO,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,6,KM_VIA,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,7,TIPO_VIA,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,8,CONDICAO_VITIMA,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,9,CAUSA_ACIDENTE,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,10,TURNO_ACIDENTE,VARCHAR2,4000,,Y
NEAC,ACIDENTE_TRANSITO,11,ID_ACID_TRANSITO,NUMBER,22,,N
NEAC,ACIDENTE_TRANSITO,12,ALTER_DATE,TIMESTAMP(6),11,,Y
NEAC,ACIDENTE_TRANSITO,13,COR,VARCHAR2,150,,Y
NEAC,ACIDENTE_TRANSITO,14,POTENCIA,VARCHAR2,150,,Y
NEAC,ACIDENTE_TRANSITO,15,RODOVIA,VARCHAR2,150,,Y
NEAC,ACIDENTE_TRANSITO,16,ID_MODELO_FK,NUMBER,22,,Y
NEAC,ACIDENTE_TRANSITO,17,MARCA_VEIC_VITIMA,NUMBER,22,,Y
NEAC,AISP,1,COD_AISP,NUMBER,22,,N
NEAC,AISP,2,COD_RISP,NUMBER,22,,N
NEAC,AISP,3,DSC_AISP,VARCHAR2,55,,N
NEAC,AMBIENTE,1,AMBIENTE,VARCHAR2,255,,Y
NEAC,AMBIENTE,2,ID_AMBIENTE,NUMBER,22,38,N
NEAC,AMBIENTE_CVP,1,AMBIENTE,VARCHAR2,255,,Y
NEAC,AMBIENTE_CVP,2,ID,NUMBER,22,,N
NEAC,ANTECEDENTES,1,ID,NUMBER,22,,N
NEAC,ANTECEDENTES,2,ANTECEDENTES,VARCHAR2,100,,Y
NEAC,ANTECEDENTES,3,GRUPO_ANTECEDENTES,VARCHAR2,100,,Y
NEAC,ANTECEDENTES,4,ORDEM,NUMBER,22,,Y
NEAC,ARMA,1,ID_ARMA,NUMBER,22,,N
NEAC,ARMA,2,FABRICACAO,VARCHAR2,255,,Y
NEAC,ARMA,3,TIPO_ARMA,VARCHAR2,255,,Y
NEAC,ARMA,4,USO,VARCHAR2,255,,Y
NEAC,ARMA,5,IDCIDADE,NUMBER,22,,Y
NEAC,ARMA,6,DATA_HORA_FATO,TIMESTAMP(6),11,,Y
NEAC,ARMA,7,CALIBRE,VARCHAR2,255,,Y
NEAC,ARMA,8,STATUS,VARCHAR2,255,,Y
NEAC,ARMA VS SEMANA,1,ID_ARMA,NUMBER,22,,N
NEAC,ARMA VS SEMANA,2,GRUPO_CRIME,VARCHAR2,255,,Y
NEAC,ARMA VS SEMANA,3,TIPO_ARMA,VARCHAR2,255,,Y
NEAC,ARMA VS SEMANA,4,CIDADE_FATO,VARCHAR2,255,,Y
NEAC,ARMA VS SEMANA,5,BAIRRO_FATO,VARCHAR2,255,,Y
NEAC,ARMA VS SEMANA,6,DATA_HORA_FATO,TIMESTAMP(6),11,,Y
NEAC,ARMA VS SEMANA,7,DATA_HORA,DATE,7,,Y
NEAC,ARMA VS SEMANA,8,SEMANA_ANO,NUMBER,22,38,Y
NEAC,ARMA1,1,TIPO,NUMBER,22,,Y
NEAC,ARMA1,2,OBS,CLOB,4000,,Y
NEAC,ARMA1,3,CALIBRE,VARCHAR2,5,,Y
NEAC,ARMA1,4,MARCA_MODELO,VARCHAR2,20,,Y
NEAC,ARMA1,5,USO,VARCHAR2,10,,Y
NEAC,ARMA1,6,FABRICACAO,VARCHAR2,11,,Y
NEAC,ARMA1,7,CODIGO,VARCHAR2,14,,Y
NEAC,ARMA1,8,NUMERO,VARCHAR2,15,,Y
NEAC,ARMA1,9,SINARM,VARCHAR2,20,,Y
NEAC,ARMA1,10,DELEGACIA,NUMBER,22,,Y
NEAC,ARMA1,11,DATA_HORA_REGISTRO,TIMESTAMP(6),11,,Y
NEAC,ARMA1,12,MODELO,VARCHAR2,100,,Y
NEAC,AUDITORIA_ARCGIS,1,ID,NUMBER,22,,Y
NEAC,AUDITORIA_ARCGIS,2,DATA_ACESSO,TIMESTAMP(6),11,,Y
NEAC,AUDITORIA_ARCGIS,3,USUARIO,VARCHAR2,255,,Y
NEAC,AUDITORIA_ARCGIS,4,IP,VARCHAR2,25,,Y
NEAC,AUDITORIA_PENTAHO,1,USUARIO,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO,2,SESSAO,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO,3,DATA_HORA,DATE,7,,Y
NEAC,AUDITORIA_PENTAHO,4,TIPO_CONSULTA,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO,5,RELATORIO,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO,6,CONSULTA,VARCHAR2,4000,,Y
NEAC,AUDITORIA_PENTAHO,7,COMPARA,VARCHAR2,4000,,Y
NEAC,AUDITORIA_PENTAHO_AUX,1,USUARIO,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO_AUX,2,SESSAO,VARCHAR2,256,,Y
NEAC,AUDITORIA_PENTAHO_AUX,3,DATA_HORA,DATE,7,,Y
NEAC,AUDITORIA_PENTAHO_AUX,4,TIPO_CONSULTA,VARCHAR2,256,,Y
