"COLUMN_NAME","DATA_TYPE","NULLABLE"
INFO_CONFERE,VARCHAR2,Y
HOMICIDIO_DETALHE,VARCHAR2,Y
NOME_VITIMA,VARCHAR2,Y
ALCUNHA_VITIMA,VARCHAR2,Y
SEXO_VITIMA,VARCHAR2,Y
IDADE_VITIMA,NUMBER,Y
ESTADO_CIVIL_VITIMA,VARCHAR2,Y
OCUPACAO_VITIMA,VARCHAR2,Y
ESCOLARIDADE_VITIMA,VARCHAR2,Y
BO_PC,VARCHAR2,Y
SUBJETIVIDADE,VARCHAR2,Y
SUBJETIVIDADE_COMPLEMENTAR,VARCHAR2,Y
INSTRUMENTO_UTILIZADO,VARCHAR2,Y
QTD_TIROS,VARCHAR2,Y
OBSERVACOES,VARCHAR2,Y
DATA_HORA_FATO,TIMESTAMP(6),Y
COR_RACA_VITIMA,VARCHAR2,Y
CIDADE_FATO,VARCHAR2,Y
BAIRRO_FATO,VARCHAR2,Y
ENDERECO_FATO,VARCHAR2,Y
LOCAL_FATO,VARCHAR2,Y
IML,VARCHAR2,Y
MAE_VITIMA,VARCHAR2,Y
AFINIDADE_AGRESSOR,VARCHAR2,Y
RELATORIO_IC,VARCHAR2,Y
LINK_SITE,VARCHAR2,Y
AISP,VARCHAR2,Y
RISP,VARCHAR2,Y
LATITUDE,NUMBER,Y
LONGITUDE,NUMBER,Y
PT_REF_FATO,VARCHAR2,Y
ID_CONTROLE_MORTE,NUMBER,N
QTD_AUTORES,NUMBER,Y
SITUACAO_ESPECIAL,VARCHAR2,Y
ANTECEDENTES_VITIMA,VARCHAR2,Y
VULNERABILIDADE_VITIMA,VARCHAR2,Y
NASC_VITIMA,DATE,Y
DATA_HORA_IML,TIMESTAMP(6),Y
ALTER_DATE,TIMESTAMP(6),Y
COD_PM_VITIMA,VARCHAR2,Y
COD_PC_VITIMA,VARCHAR2,Y
CIDADE_VITIMA,VARCHAR2,Y
BAIRRO_VITIMA,VARCHAR2,Y
ENDERECO_VITIMA,VARCHAR2,Y
PT_REF_VITIMA,VARCHAR2,Y
COMUNIDADE_VITIMA,VARCHAR2,Y
STATUS_SOCORRO,VARCHAR2,Y
MOTIV_INICIAL,VARCHAR2,Y
MOTIV_FINAL,VARCHAR2,Y
TIPO_PROCEDIMENTO,VARCHAR2,Y
ILICITO,VARCHAR2,Y
DATA_HORA_INSTAURACAO,TIMESTAMP(6),Y
DATA_HORA_CONCLUSAO,TIMESTAMP(6),Y
FORMA_CONCLUSAO,VARCHAR2,Y
SITUACAO_INQUERITO,VARCHAR2,Y
NUM_INQUERITO_PC,VARCHAR2,Y
DATA_ENVIO_JUS,TIMESTAMP(6),Y
NUM_PROC_JUSTICA,VARCHAR2,Y
INFO_COMP_INQUERITO,VARCHAR2,Y
CAD,VARCHAR2,Y
NUM_OBITO,VARCHAR2,Y
HISTORICO_PC,CLOB,Y
HISTORICO_PM,CLOB,Y
HISTORICO_IC,CLOB,Y
QTD_INQUERITO_PC,NUMBER,Y
CPP,VARCHAR2,Y
BO_SISGOU,NUMBER,Y
NIC,NUMBER,Y
ARMA_RESISTENCIA,VARCHAR2,Y
TP_USO_ARMA_RESISTENCIA,VARCHAR2,Y
STATUS_DELEGADO,VARCHAR2,Y
STATUS_PERICIA,VARCHAR2,Y
STATUS_NECROPSIA,VARCHAR2,Y
SERVIDOR_RESPONSAVEL,VARCHAR2,Y
STATUS_MP,VARCHAR2,Y
OBS_RESISTENCIA,VARCHAR2,Y
DATA_HORA_INSERT,TIMESTAMP(0),Y
DATA_HORA_UPDATE,TIMESTAMP(0),Y
DESOVA,VARCHAR2,Y
OBS_GEO,VARCHAR2,Y
GRUPO_ANTECEDENTE,VARCHAR2,Y
GRUPO_MOTIVACAO,VARCHAR2,Y
COORD_STATUS,CHAR,Y
STATUS_VCVLI,CHAR,Y
GEO_STATUS,NUMBER,Y
DUPLICATED,CHAR,Y
ID_DUPLICATED,VARCHAR2,Y
SETOR_CENSITARIO_FATO,NUMBER,Y
SETOR_CENSITARIO_VIT,NUMBER,Y
LATITUDE_VITIMA,NUMBER,Y
LONGITUDE_VITIMA,NUMBER,Y
ANTECEDENTE_SISPOL,VARCHAR2,Y
ALCATRAZ,VARCHAR2,Y
VTR_COORDENADA,VARCHAR2,Y
OPM_COORDENADA,VARCHAR2,Y
SITUACAO_PROCESSO_TJ,VARCHAR2,Y
VULNERABILIDADE_AUTOR,VARCHAR2,Y
ID_FATO,NUMBER,Y
